【#美国民警卫队朝居民家中开枪#】当地时间5月30日，美国多家媒体播出一则视频，视频中一居民家门口拍摄装甲车开路的国民警卫队，画面中一名队员大喊：“进去！进屋！”随后其他成员喊道：“朝他们开火！”并开始朝拍摄者家中射击，子弹击中居民左腿。有媒体指出，国民警卫队射出的子弹“不具备杀伤性”。美国国民警卫队朝居民家中开枪：朝他们开火！ 人民日报的微博视频,2021/5/31 18:53,"评论
10469",再看看香港废青，搞了一年了，祖国也只是把你们当不懂事的孩子,方方呢？这还不加急飞美国去写日记？？,暴力执法就是美国警察的特色,呼吁美国当局正视人民的合理诉求，我们和美国人民站在一起,自由的枪声,这是警察还是恐怖分子啊？,居民。。。这就过分了吧。矛盾更激化了。。。后面怎么平息？？？,建议联合国派调查团对美国的人权状况进行调查,这是暴力执法吗？就是故意杀人，毫无人性，建议美国民众拿起武器反抗,香港废青一定想感受一下美国爸爸皿煮自由的枪声,卧槽疯了吧,恐怖，毫无人性,@方方 怎么看,不分青红皂白 暴力执法,这不是警察，这是恐怖分子,人权呢，你们美国所谓的人权呢,啊这就是民主的香甜气味吗？,警察开枪打人啦～警察开枪打人啦～～～,自由之战，和拍电影一模一样！！,
,,,,,,,,,,,,,,,,,,,,,,
【最新：#美国新冠肺炎超177万例#】截至北京时间5月31日16时，新冠肺炎已影响全球215个国家和地区，#全球累计确诊超604万例#，累计死亡369169例。其中美国累计感染人数达1770384例。转发关注新冠肺炎疫情全球走势↓↓,2021/5/31 18:41,"评论
823",暴乱＋新冠＝美国的双倍快乐,自己国内烂事一堆，却天天想插手我们的港台事务,美国赢太多了,美国顾不上肺炎了,特朗普：只要我装傻，一切与我没关系,给美国单独做一张图吧,不点开大图都看不见第二名,美国C位断层出道,11月把特朗普投下去,你是先解决疫情还是先解决暴乱？,以后的教科书上写到:曾经有个国家叫美国……,应该为美国疫情失控向美国政府追责。,他忙着打仗，泼脏水，和对黑人暴力执法，哪有功夫抗击疫情,希望最后再加两个0,美国真一枝独秀,这世界啥时候能好回来？,200万是第一阶段，更大规模的新增和死亡病例还在后面。,突破200万指日可待。,,
,,,,,,,,,,,,,,,,,,,,,,
恭喜@养乐多绿呢 等100名用户获得【联名款螺蛳粉】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,2021/5/31 17:34,"评论
477",每次都等抽奖结束了我才知道有抽奖,100位还抽不到我 绝望了,为什么我等抽奖结束了才知道,哈哈哈哈哈居然有抽奖,所以下次抽是什么时候？,养乐多绿～啊啊啊啊啊啊啊一点点的小主被照顾的很好啊,为什么我只能看到开奖博,最终还是养乐多获得了一切,在哪买我想问,我现在才看到，不过看了基数那么大，我早看到也许也只能是分母,新的一天新的陪跑,好吧，回去删微博了,我就知道自己不会中，所以自己买了三包都吃完啦。,猝不及防的,中奖绝缘体竟然中奖了,为什么我每次都中不了，我不配,为什么我每次都中不了，我不配,100个都抽不到我中奖绝缘体了,还有机会莫呜呜呜,哼反正我吃过了 甚至在宿舍还放着过期半年的 不中也罢
,,,,,,,,,,,,,,,,,,,,,,
【这里有#大朋友也爱读的图画书#】明天就是儿童节，我们准备了很多图画书！《敦煌：中国历史地理绘本》《中国人文地理画卷系列》《颜色里的中国画》《故宫里的博物学》……从地理到人文，从艺术到科学，关注@人民日报 并转发这条微博，抽取40名“小书虫”，随机获得以下图书一份！#我要做一天小孩子# 抽奖详情,2021/5/31 17:04,"评论
1595",看看我啦！,图画书好好看哦,我想不会是我…,好多书呀，我是大朋友，看看我呀,#我要做一天小孩子# 我是大朋友，我也爱读书,我也来求份图书,我这次还会是分母吗,#我要做一天小孩子# 看看我，我是大朋友我也爱读书,我也是小书虫,康康我康康我，我家也有爱读书的小朋友,哇哇哇！我也喜欢啊！我闺女更喜欢呀！,我是过期的小朋友,《敦煌：中国历史地理绘本》,我爱读书，我家小朋友也爱读书,看我看我。我要,大朋友就是我,你好，北京某武警部队的警官，在山东菏泽鄄城老家霸凌邻居（邻居60岁，霸凌3年），抢占邻居的胡同，堵邻居的路不让出行！请部队给以调查，还基层劳动人民一个公道#武警霸凌邻居#,今天小朋友让我猜迷：妈妈你知道每个人有几个母亲吗？我说是几个，你可以告诉我吗？我的宝贝说：一个就是妈妈你，而另一个是我们的祖国母亲,故宫里的博物学,喜欢看书
,,,,,,,,,,,,,,,,,,,,,,
【#纽约州长谈美国警察暴力执法#：除非瞎了，否则你不会把明尼阿波利斯事件当成个案】5月30日，美国纽约州州长科莫在谈到警察暴力执法时表示，这不是个案，除非你是瞎了或拒绝承认事实，在我们的刑事司法制度中，存在令人憎恶的不公正现象。#纽约州长说美国警察暴力执法不是个案#小央视频的秒拍视频,2021/5/31 16:16,"评论
2922",蓬佩奥现在脑子里只有一件事：尽力证明那四个警察是中国人。。。。,这个州长去竞选总统吧 疫情发生以来难得是个明白人,特朗普：白人警察的锁喉技能来自中国功夫，他们没告诉我们这能致人死命，他们对此负有责任。,我们非常高兴看到在美国发生的和平示威活动，正如美国所倡导的那样，我们把它叫做“美国之春”！,对美国的人权状况表示担忧,坚决支持美国人民的和平示威集会，“美国之春”来了！,我觉得纽约州可以独立了，州长市长的还有点人类的气息。,他们两兄弟今天都发声了啊～～～,50个州只有独立才能消除种族主义！,你们怎么这么过分？美国和平示威竟然捂着嘴笑，你们还有同情心吗？要笑就给我放声大笑,为什么明白人不去竞选总统，而不靠谱的却当选总统,不是英雄，不懂建国。 若是英雄，怎么能不懂战火。 独自走向华尔街，资本太阴柔。 懂王不啰嗦，一心想要甩锅。 用阴谋，阳谋，胡说，暗夺的摸。 大选之年五十州，烽火连天不休。 儿女顾问，被资本左右，都来高就。 尔虞我诈是建国，只有对没有错。 纷纷扰扰，两百年以后。 一切又从头。,特朗普：他不是个合格的州长，他在说假话！,黑人用脖子顶住白人警察膝盖，导致警察站不起来(CNN),反正他都不难受 他只要自由,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【正在直播：#张文宏解读如何科学戴口罩#】近日，国家卫健委发布了《公众科学戴口罩指引（修订版）》，明确了公共环境中口罩的适用方法。同时大中小学也在近期陆续开学。今天，@张文宏医生 将就返校后如何做好防护、中高考冲刺阶段的健康作息等提供一些建议和分析。戳直播↓↓ 人民日报的微博视频 .,2021/5/31 14:30,"评论
310",张老师 钟爷爷 说啥就是啥吧,公共场合还是要戴口罩,学起来！,认真听课！！记笔记！！！,大家都学起来[加油][加油][加油]中高考的宝贝们要先做好防护，再好好备考，调整好作息，最后一个多月了，加油哦,来了,人口密集的地方带着还是安全一点,听讲了,#大学什么时候解封#要根据情况来调整校园封闭的强度，不要统一实行长期的强制封闭。,#大学什么时候解封#要根据情况来调整校园封闭的强度，不要统一实行长期的强制封闭，改成半封闭状态。,谢谢张医生，涨知识了,人口密集的地方带着还是安全一点,来了来了,来了,听张教授的没错 防护很重要,安全第一，做好防护,张教授,来了,快 笔记本拿出来！认真听讲！,
,,,,,,,,,,,,,,,,,,,,,,
【#为什么接触电子烟的青少年在增多#】中国疾控中心数据显示，#初中生使用电子烟比例显著上升#。专家分析，一些电子烟炒作“健康无害”“时尚”概念，代言广告中的明星等也在潜移默化影响青少年。而电子烟同样含有尼古丁，易产生依赖，接触电子烟的青少年最终多成为卷烟的消费者。因此，远离烟草，应从远离电子烟开始。央视网快看的微博视频,2021/5/31 13:48,"评论
2764",因为爱装逼……,这不是香烟还是电子烟的区别，而是未成年不应该吸烟，不管是什么烟,最可恨的电子烟的宣传给人很大的误导，现在有些人就在禁烟办公室抽电子烟，还处罚不了，可气,他妈的别天天讲这种 你把中国烟草关了 然后全国范围内禁止吸烟比什么都强,第一次接触都是因为好奇觉得很酷吧,什么时候能禁止电子烟呢,没有正确的引导！家长有一定的责任,大部分人抽烟是从厕所开始的,看某手某音的青少年不在少数，跟风学，青春期还叛逆，这都是潜移默化的使孩子们走上不归路。,天天说吸烟有害健康，为什么不关闭烟草公司，还不是利益作怪小小烟草利润太大。,主次颠倒了吧，电子烟对青少年有危害，但是传统香烟对于全民都有危害！两个都该抵制，别拿电子烟挡枪啊。,微商多了,以前不介意别人在我面前抽电子烟，后来听说电子烟其实也是对人体有害的，我记得网络上也不允许卖烟行为。之前还再腾讯110举报了个在网上卖电子烟的，他们很快封号了，希望卖给未成年烟的烟贩子越来越少吧！,讲句实话，你以为抽烟很帅，但实际是不恰当的年龄做不恰当的事，别人只会觉得你傻，你不仅没得到追捧，你还容易上瘾，获得一腔烂肺,初中高中合伙买过一包香烟的举手，或者一根一根买的,"刚开始学抽烟都是为了装b,然后就戒不掉了",说到底还是电子烟动了中国烟草那杯羹，怕烟草利润下降影响到他交的税,真的要管一管了，现在抽烟的人低龄化，年纪很小的人都在抽烟,,
,,,,,,,,,,,,,,,,,,,,,,
"【广州白云区教育局通报：#广州涉体罚学生教师已被暂停班主任职务#】5月31日，#广州白云教育局通报教师涉嫌体罚学生#：据广州白云公安5月31日凌晨的通报，发帖人刘某（微博名：小岛里的大海）承认其女儿因遭体罚吐血、凌晨2时被老师威胁殴打、送老师6万元等情节，系其为扩大影响而故意编造的谎言，照片展示的衣服“血迹”实为化妆品和水，其女儿目前精神状态良好。据接诊医院反映，就诊过程中患者及其家属均未提及哮喘病史和吐血的情况，目前亦无法提供其女儿哮喘诊断的有关病历证明。
经区教育局调查，2019年12月10日，刘妍老师因学生违反学生管理纪律，以班规为由让刘某女儿等5名违纪学生跑10圈。视频监控显示，刘某女儿于当天14:55开始慢跑第1圈，跑跑走走停停共完成9圈，15:27离开操场，15:35至16:30上思政课和自习课时无异常状况，16:30放学后在校门由刘某接走，监控视频显示刘某女儿身体和精神无异常状况。
学校已于2019年12月12日暂停刘妍老师班主任职务，并对其进行全校通报批评、免去其品德学科科组长职务等处理。
区教育局将继续强化学校监督管理，督促学校加强教师队伍建设，不断改进教育教学方法。",2021/5/31 13:10,"评论
5805",家长撒谎炒作污蔑也该重重的罚,家长怎么处理，影响恶劣,造谣要负刑事责任吧,利用网友造谣太坏了…,大家帮忙发声是善良的人性 但一次次被利用 不就和碰瓷一样了吗？ 虽然嘴上说下次还帮 但下次真的还会吗 感觉很大一部分去网爆人家老师其实是宣泄自己的压力 虽然老师体罚学生不对 但这家长利用大家善心真的不是东西,惨还是小孩惨，一边被体罚，一边被亲妈消费,造谣是真 体罚也是真,一个撒谎，一个体罚,老师方法可能过激了不过这个妈妈造谣犯法了,家长呢？ 吃自己孩子的人血馒头 不怕噎死吗,后果是全社会买单，教育一下成体罚→造谣报复→学校、家长的压力→管得越多死得越快→学不学无所谓，上完课就好→只有教书没有育人→风气变坏→调皮捣蛋不会被罚→……→（长大后）我想要的必须不择手段获得。这就是全社会买单。,家长造谣，撒谎的不处理吗？影响恶劣，应该重罚,32分钟走2km能有多累啊而且不是因为违纪才被罚的嘛,老师处分了，造谣者不需要负责任吗,亏我还帮她转发了 这一切原来都是假的,都知道体制内教师是弱势群体，好欺负。,平均一分钟六十米，都算体罚的话，怎么才算不是体罚（这条评论基于孩子没哮喘，）,一个造谣 一个体罚,所以这个孩子其实也没有跑十圈，只是跑了一圈剩下的都是走，如果老师真的想让她跑十圈，肯定会监督着让她跑完，其实老师就是用十圈吓唬孩子的吧……,过于夸大事实了，老师如果存在体罚学生的事实必须受到惩罚，但是不能一味造谣煽动网友阿，这件事情从昨天开始关注，没想到是这样
,,,,,,,,,,,,,,,,,,,,,,
【明天起，这些新规将影响你的生活】①卫生健康领域“基本法”将生效，#国家立法保护医护人员安全#，对“医闹”零容忍；②#6月起骑摩托车不戴头盔等要被严查#；③6月20日起机动车检验标志电子化服务将覆盖全国……更多↓↓转发周知！,2021/5/31 13:00,"评论
1876",网络辣鸡广告能管一下吗？,医生保护了，老师要不也保护一下？最近好多老师被网暴啊,医闹零容忍，希望尽快把具体措施落地！,医护人员很辛苦，为我们付出了太多，值得保护！头盔已经涨价了！,我昨天就经历了高空抛物，告诉物业，结果物业说他们也管了也管不不了，人家不听,支持支持！！！,支持支持！,头盔要涨价喽~,支持支持！必须支持,对“医闹”零容忍！,支持支持,医患矛盾不是只是患者的问题，保护医生那患者呢？,人身安全，人格尊严终于有提到人格尊严了。医生的职业自豪感，跟人格尊严关系密切。咱国家医生又不能给高工资，给点职业自豪感鼓励下也好啊。,电视台的骗老年人的广告能管下吗？骗的这么光明正大，还天天放,支持支持,电动车查不查头盔,反对禁摩，为什么警察就能骑摩托车，人民就不能骑，典型的只许州官放火，不许百姓点灯!现在是法制社会，抗议抗议，希望国家重视，让部分城市不要禁摩!必须解禁摩托车的限制!,好哒！知道啦！,一直有一个疑惑，医生是人应该是一直受到法律保护的，那现在说的为医生立法就是专门针对保护医生的法律条款？那别的职业呢？这不存在职业歧视？（单纯疑问，不杠）,
,,,,,,,,,,,,,,,,,,,,,,
【我国#初中生使用电子烟比例显著上升#，#2019近1/4高中生曾尝试吸卷烟#】5月31日，中国疾控中心发布#2019年中国中学生烟草调查#结果。这份31省区市约29万学生参加的抽样调查结果显示，过去5年我国初中学生尝试和现在吸卷烟的比例明显下降，但听说过和现在使用电子烟的比例显著上升。2019年高中学生尝试吸卷烟、现在吸卷烟以及现在使用电子烟的比例分别为24.5%、8.6%和3.0%，均高于初中学生，其中职业学校控烟情况更是不容乐观。网页链接,2021/5/31 12:05,"评论
3189",这不是香烟还是电子烟的区别，而是未成年不应该吸烟吧,从来没吸过烟，闻不惯那烟味,真的挺讨厌公共场合抽烟,中专真的蛮多,说真的，初高中生抽烟真的只是装逼,卷烟更严重好不,成年了也就算了 学生群体都保不住了吗,父亲在顺丰公司上班，下班途中工亡没有人管,校园里抽烟的真的很多，好像形成风气了,嗯...卖烟的时候还是看一下娃多大吧,感觉周围不抽烟的男人越来越少。,电子烟怎么都比真的烟草好，要禁一起禁得了。或者提高一倍税率，让青少年都吸不起。,讲真，我见到过小学生抽烟,呵呵宿舍里有个老烟鬼 让老子每天都吸二手烟闻死烟味 月底了希望她早日抽死自己,我们教育未成年不要吸烟，但是走进职场之后面对领导同事的二手烟却被告诉：你应该适应,一直在承受着这个年纪不该有的烦恼与压力,烟龄少年化，有必要控制控制了,我弟弟不喜欢抽烟，我觉得真的太好了[加油],,
,,,,,,,,,,,,,,,,,,,,,,
【世界无烟日：#钟南山李兰娟等呼吁远离烟草#】今天是世界无烟日，钟南山、李兰娟、王辰等多位专家共同发出强烈呼吁：不要吸烟，不要二手烟。希望来之不易的健康能被好好珍惜！#听医生的话#，请一起转发呼吁！@世界卫生组织 人民日报的微博视频,2021/5/31 10:25,"评论
2516",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"【广州#警方通报教师涉嫌体罚学生#：家长承认撒谎】据@广州白云公安 通报：关于网传“广州市方圆实验小学一名教师涉嫌体罚学生”一事，警方积极配合有关部门开展调查。
经调查取证，发帖人刘某（微博名：小岛里的大海 ）承认“其女儿因遭体罚吐血”“凌晨2时被老师威胁殴打”“送老师6万元”等情节，系其为扩大影响而故意编造的谎言，照片展示的衣服“血迹”实为化妆品和水，其女儿目前精神状态良好。据接诊刘某女儿的医院反映，就诊过程中患者及其家属均未提及哮喘病史和吐血的情况，刘某亦无法提供其女儿哮喘诊断的有关病历证明。与此同时，警方在调查中还发现了刘某涉嫌雇请人员进行网络炒作的相关证据。
白云警方表示，将继续配合教育部门对事件作进一步调查。对触犯法律的相关人员，警方将依法追究其法律责任。",2021/5/31 7:18,"评论
8688",消费完网友的同情和愤怒？？？让大家去网爆老师？？能不能把他依法严惩？,这就好笑了，微博里有一个医生因为质疑刘某所说的病史和衣服上的血迹被网络暴力了,老师果然是最好欺负的群体哈,造谣请去承担相应的法律责任 谢谢,这大妈还是方方铁粉，昨天信了她的邪，这件血衣配上满地手机，绝了,摊上这样的父母，比遇到一个差老师更糟糕,其女儿因遭体罚吐血是假，凌晨2时被老师威胁殴打是假，送老师6万元是假，其女儿哮喘还是假。而雇请人员进行网络炒作，被警方证实。这样的家长，老师们躲远点！同时，再次提醒各位老师：千万别体罚学生。教育是良心活，对得起自己的良心就行。教育不是万能的。,她不过是做个实验证明平时指点江山激扬文字的网友很蠢罢了,雇人在网络上操作，把老师骂上热搜，微博还给加了愤怒的表情。大家不明真相能不能不要骂，老师是舆论弱势群体，真相是出来了，但向来是澄清不出门，造谣传千里，多少人在意真相呢？,这对老师的伤害太大了，而且最重要的是，这样的家长，他的孩子，还有老师敢教吗？,一直对网络上的东西保持怀疑的心态，遇事先让子弹飞一会儿。其实昨天很多大V提出的质疑，结果被一起骂了所以当你不了解全部事情的时候可以闭嘴，尊重别人提出的质疑。不过现在事实究竟如何还是不能下定论，希望大家不要非黑即白，相信有关部门会调查清楚的。,被网爆一天的老师谁来负责，还有微博造谣犯不犯法啊？,广大网友的善良被人当枪使，所以还是先别急着站队，造谣就请承担法律责任,老师可能确实体罚了，但有教育意义的轻微体罚其实也不是太过分的，现在有的家长对孩子真的过分疼爱了。这样就让许多老师不敢去管孩子了……但体罚造成学生不舒服是绝对不对的,还会反转吗晕了,如果假的“狼来了”（老师体罚或者其他）用多了，真的“狼来了”谁还会相信呢？不要再消费别人的善良了！给真正有需要的人吧,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#安理会拒绝美英涉港提议#】中国全国人大高票通过涉港国家安全决议，美国、英国出于自身政治目的，妄图推动联合国安理会举行公开视频会议进行讨论。中国表示强烈反对，绝大多数安理会成员均不支持美方提议，认为涉港问题属于中国内政，与安理会职责无关。安理会拒绝了美国无理要求，美方图谋以失败告终。网页链接,2021/5/30 20:59,"评论
6046",川普：退出联合国警告！,现在美国还有闲心管别人的事情,英美：我觉得香港问题应该 中国：爪巴,美国管好自己家暴乱吧 再闹就独立了,美英这俩货贱不贱呐！！！,脸咋那么大呢？脸皮真厚，咋好意思,他们凭什么,关你毛线，毛病滚,真不要脸，英美蛇鼠一窝，管好一家后院的破事吧！,美国政客不是好好收拾自己的烂摊子，而是天天想着如何制裁中国，这届美国政府真是干正事没水平，秀下限无底线。经过这几年特朗普先生不停折腾，我们是确确实实看见了美国强大背后的诸多龌龊,英国还真是美国一条狗,特朗普又该不给联合国交会费了,美英:老公你说句话呀～ 联合国:gun,川普：你们这个失败的安理会，我要解散你们！,美国都乱成啥样了，还管别人啊，管好你们自己得了，看看你们的风景线吧,他们凭什么涉港,特朗普：真是个糟糕的安理会，已经被中国控制了，我宣布退出,,,
,,,,,,,,,,,,,,,,,,,,,,
