"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
,,,,,,,,,,,,,,,,,,,,,,
【#若你也曾见过他们#：感谢你们，志愿者！】他们是新冠肺炎疫情期间万千志愿者的缩影，平凡的普通人，传递出令人难忘的精神、力量和效率。谢谢所有志愿者，让我们一起加油！SBS暖视频的秒拍视频,2020/3/5 18:23,"评论
901",感谢你们,不同的人来自不同的地方，同样的目的：守护爱的人,平凡而伟大，谢谢,感谢你们！感谢所有努力的人、不添乱的人！,谢谢你们，一起加油！,谢谢你们，加油！[加油],平凡又不平凡的雷锋精神,这些人太无私了，有了这些无私的志愿者，我们才能回归正常的生活，可敬！希望他们不要被感染,感谢你们！！我们一起加油，一定会好起来的！,纪念周总理诞辰122周年，缅怀!我将无我，不负人民他是一位纯粹的唯物主义者，他喜欢海棠花，人民说他伟大，他说：人民最伟大可是如今，被外国人渗透进来(报报别删我)顶我上去,今天是周总理的诞辰以及雷锋的纪念日。(不要沉底),周总理不配您发一条微博？？？,人民的好总理比不上志愿者？？？,这盛世如您所愿，山河犹在，国泰民安 周总理诞辰122周年,#纪念周恩来总理诞辰122周年# ×坚决反对#外国人永久居留管理条例#,周恩来总理呢？？,坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！ 坚决反对#外国人永久居留管理条例#！！,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#韩国确诊病例突破6千#，新增322例】韩国中央防疫对策本部5日通报，截至5日下午4时，韩国较当天0时新增新冠肺炎确诊病例322例，累计确诊病例达6088例。继3日确诊病例超过5000例之后，韩国新冠肺炎确诊病例于5日超过6000例。

韩国中央灾难安全对策本部第一总括协调官金刚立5日在记者会上表示，对大邱地区“新天地”教徒中有症状人员的检测工作已经结束，现在正对无症状教徒和其他市民进行检测，可以预测确诊人数将逐渐减少。（人民日报记者马菲）",2020/3/5 16:17,"评论
806",增幅很快！韩国加油,初期武汉。,韩国真的好多 国家还那么小 人还那么密集.....,邪教啊害死人,希望其他国家也能尽早控制住疫情,韩国这是要守不住了啊,韩国要挺住啊 望能有效的控制住,不知道您认不认识中国人民共和国周恩来总理 中国姓社不姓资,今天是周总理的诞辰以及雷锋的纪念日。,一场疫情，全民成了厨子，医护成了战士， 老师都成了主播，机关干部成了门卫，家长成了班主任， 只有孩子们，依然是神兽！小区门口的保安都成了哲学家，问的都是直击灵魂深处的终极哲学问题：1、你是谁？2、你从哪里来？3、你要到哪里去？然后深情地给你一枪，看你是不是头脑发热了,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,不是种族问题，是阶级矛盾 走姿派的居留条例已经出卖民族利益了。走姿派的后代在外国出生或亲人取得外国籍，来中国享受永久居留的超国民待遇，再把国内资产转移到国外逍遥。走姿派开始学洋人搞慈善和私募，避税洗钱。我们的国家永远是人民的国家！坚决反对！,真正的死亡是被所有人遗忘。我想这也是官媒报道纪念伟人诞辰的意义，周总理一生为民，为中华之崛起而读书。虽然他没有后人，但是人民会记得周总理#周总理122周年诞辰# @人民日报,周总理诞辰只字不提别叫人民日报了，侮辱了人民两个字,你们不要黑我家日报哥哥， 日报哥哥那么好，保护全世界最好的日报哥哥,【今天，缅怀周总理】他日理万机，"思考事物的周密如水银泻地，处理问题的敏捷如电火行空"；他鞠躬尽瘁，把人民放在心里，把个人置之度外；他告诫亲属，不许扛总理牌子以谋私利；他身后没有子女财产，却有十里长街百万群众洒泪送别…今天，周恩来诞辰122周年。愿这盛世，如您所愿,“简介： 人民日报法人微博。参与、沟通、记录时代。”你说的到好做到了吗？#纪念周恩来总理诞辰122周年# 不要让人民对你失去信心,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#外交部回应美主持人要中国就疫情道歉#：谁要求美国为H1N1流感道歉了吗？】在3月5日举行的外交部例会上，有记者就美国福克斯电视台主持人沃特斯要求中国就新冠肺炎疫情道歉一事提问，对此，发言人赵立坚在回应中表示，个别主持人的言论荒谬可笑，充分暴露出他对中国的傲慢、偏见和无知。
赵立坚说，我想强调几点：第一，疾病是人类的公敌，各国患病的人都是受害者，不知道“道歉论”从何说起？世界各国人民正在努力携手共同抗击新冠肺炎疫情，世界卫生组织多次表示，污名化比病毒本身更危险。在这个时候个别人散布这种毫无逻辑的言论，居心何在？
第二，“中国道歉论”毫无根据也毫无道理。目前病毒源自何处尚无定论。无论病毒源自哪里，中国同其它出现疫情的国家一样，都是病毒的受害者，都面临阻击疫情蔓延的挑战。“2009年美国爆发的H1N1流感蔓延到214个国家和地区，当年就导致至少18449人死亡。谁要求美国道歉了吗？”
第三，中国抗疫体现了一个负责任大国的应有担当。在此次疫情防控中，中国力量、中国效率、中国速度受到了国际社会的广泛赞誉，为了世界各国人民的健康和安全，中国人民也付出了巨大牺牲，做出了重大贡献。全球170多个国家领导人和40多个国际地区组织负责人，向中国领导人来函来电，发表声明表示慰问支持，对中国抗疫举措及其积极成效，以及为阻止疫情蔓延做出的巨大牺牲予以高度肯定。世界卫生组织总干事谭德赛指出，中国强有力的举措既控制了疫情在中国境内扩散，也阻止了疫情向其他国家蔓延，为世界各国抗击疫情树立了新的标杆。美主持人要中国就新冠肺炎疫情道歉，赵立坚反问：谁要求美国为H1N1流感道歉了吗？",2020/3/5 16:10,"评论
28780",美国要点脸吧,西班牙人：因为“西班牙流感”，我们替美国人背了多少年锅……,做人不能太美国,美国驰名双标,???脑子有坑吧，世界警察当多了?,对美国：呵呵,今天是周总理的诞辰以及雷锋的纪念日。上去啊！,请先为H1N1和西班牙流感道歉,艾滋病毒还是白人传播到全世界的呢，白种人怎么不向全人类谢罪呢,骚凹瑞，没把你感染上是我们的错,坚决反对#外国人永久居留管理条例#,请美国为西班牙和墨西哥的流感道歉，请美国为HIV道歉，请美国为猪瘟道歉,如果到时查出源头是美国，那么美国道歉不,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,今天是周总理的诞辰以及雷锋的纪念日。,真的是无下限，不要脸啊→_→,我就纳闷了，一个三流电视台的主持人言论需要国家外交部发言人亲自回应吗？不嫌掉价？,为中华之崛起而读书[加油]为中华之崛起而读书[加油]为中华之崛起而读书[加油]为中华之崛起而读书[加油]为中华之崛起而读书[加油],,
,,,,,,,,,,,,,,,,,,,,,,
【记住每个英雄的名字！#506位个人获防疫工作先进表彰#】506位个人+113个集体全名单，戳↓↓谢谢你们的付出！辛苦了！#三部门表彰卫健系统防疫先进集体个人#,2020/3/5 15:50,"评论
1680",致敬，你们是真的英雄！,雷锋精神 永不磨灭感谢所有为战疫付出的人们 你们是这个时代的“雷锋”,我们的英雄,辛苦了，致敬,辛苦了,辛苦了!,记住每个英雄的名字,每个医护人员都值得尊敬,永远记得你们谢谢！,致英雄,你们辛苦了 致敬!,辛苦了,辛苦了辛苦了 致敬,你们辛苦了,永远都记得你们！,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”人民想念他。,,,
,,,,,,,,,,,,,,,,,,,,,,
【农业农村部：#牛蛙可以养殖食用#】农业农村部渔业渔政管理局局长张显良表示：包括中华鳖、乌龟在内的绝大多数养殖龟类，和蛙类中的牛蛙、美国青蛙两个引进种可以养殖食用。 人民日报的微博视频,2020/3/5 15:39,"评论
3121",牛蛙可,我的快乐回来了！！！,牛蛙我超爱，特别嫩，超好吃,牛蛙爱好者表示很快乐,今天是周总理的诞辰以及雷锋的纪念日。(我倒要看看它会不会沉底),纪念敬爱的周总理诞辰122周年,坚决反对#外国人永久居留管理条例# 都还记得2012年5月8号 北京一洋鬼子街头强奸中国姑娘这事儿吗？是的，结果是洋鬼子罚了500块钱，居留15天一天牢都不用坐！！！！！！！！！！,作为人民日报，啥都不发？？？？今天是什么日子，您忘了,#纪念周恩来总理诞辰122周年#,一定要划分系列，有的地方政府直接一竿子打死，而有的地方扶贫就是靠养殖这些,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国[二哈,#纪念周恩来总理诞辰122周年# 坚决反对#外国人永久居留管理条例#,忘了我们提醒你，今天周总理诞辰！,牛蛙我的最爱,养殖的竹鼠呢？人工养殖的好多动物呢？,牛蛙可！#周总理122周年诞辰# 望周知,: #纪念周恩来总理诞辰122周年#,坚决反对#外国人永久居留管理条例# 你姓社不姓资 你是人民日报 为人民了吗 你配吗？,,
,,,,,,,,,,,,,,,,,,,,,,
【最新！#78国累计确诊14942例新冠肺炎#】截至北京时间3月5日12时，除中国外，78个国家累计确诊14942例新冠肺炎，累计死亡268例。转发关注#新冠肺炎疫情全球走势#！,2020/3/5 15:00,"评论
1074",已经78个国家了世界地图逐渐变红,78个国家，这么多了吗,人数好多，世界各国都要注意防护呀,都要重视一下啊,太难了 在国外的同胞也要注意安全,可怕,我的天,快点好起来吧,各国加油！我们一定可以战胜病魔！[加油][加油],缅怀周总理！！！（我倒要看看这条评论会不会沉下去,今天是周总理的诞辰以及雷锋的纪念日，缅怀！,周总理您快回来吧，我们斗不过了,周总理，“人民”日报不纪念您，人民纪念您！,坚决反对#外国人永久居留管理条例# 罪魁祸首找到了 @带带大师兄,“人民喜闻乐见，你不喜欢，你算老几？” ——周总理在文艺工作座谈会和故事片创作会议上的讲话（1961年6月19日）,缅怀周总理,周恩来,坚决反对#外国人永久居留管理条例# 你姓社不姓资 你是人民日报 为人民了吗 你配吗,,
,,,,,,,,,,,,,,,,,,,,,,
【#各级财政安排防控资金1104.8亿元#】财政部副部长许宏才表示，截至3月4日，各级财政共安排疫情防控资金1104.8亿元。目前已使用714.3亿元，未使用390.5亿元。中央财政已专门安排257.5亿元，并在去年四季度已提前下达转移支付的基础上，预拨了一般性转移支付资金，要求地方加强资金的拨付和使用等工作，缓解财政支出的压力。 人民日报的微博视频,2020/3/5 14:21,"评论
899",会好的,中国加油加油加油,希望用到实处！,钱要花在刀刃上,中国加油！,[加油],一定都会好的,春暖花开，一切会好起来的！#武汉加油# #中国加油#,周总理，生日快乐呀！！！,你把你名字里人民二字删掉吧。是人民配不上你，你太高贵了。,“人民喜闻乐见，你不喜欢，你算老几？” ——周总理在文艺工作座谈会和故事片创作会议上的讲话（1961年6月19日）,周总理诞辰啊！看看吧,装都不装了，祖传技能不能丢啊,人民日报 人民叛徒！,周总理呢？,#永远怀念周总理# 人民怀念周总理,生活本来不易，疫情下更是艰难了#纪念周恩来总理诞辰122周年#,我就看看你今天会不会发周总理诞辰的文章,纪念周恩来总理诞辰122周年人民日报忘记的，人民会记得,
,,,,,,,,,,,,,,,,,,,,,,
#又一艘公主号邮轮发生疫情#【#加州死亡病例乘坐邮轮21人出现症状#】据美媒报道，美国加州一名71岁的男性新冠肺炎死者曾乘坐“至尊公主”号邮轮。该邮轮载有2500名乘客，与“钻石公主”号同样隶属于“公主邮轮”公司。邮轮2月10—21日自旧金山出发前往墨西哥，返回旧金山后21日又前往夏威夷。加州州长3月4日表示，邮轮上有11名乘客和10名船员“出现症状”，目前尚未靠岸。加州方面正与美国疾控中心和当地的医疗保健合作伙伴共享邮轮乘客名单并进行调查。网页链接,2020/3/5 11:43,"评论
1549",新冠肺炎干脆以后改称“公主病”吧,天呐...不要重蹈覆辙呀,愿平安！不要再发展成恐怖游轮了,天啊 愿平安,？？愿平安吧,太可怕了,公主受苦了,啊啊啊啊！！！,今天是周总理的诞辰以及雷锋纪念日啊！为什么不报道了？,新冠肺炎干脆以后改称“公主病”吧,你们媒体一个个不知道今天是周总理诞辰吗？不知道今天是雷锋日吗？,人民日报周总理诞辰都不报道了？,垃圾报纸,记不得我就提醒你一下，3月5号是周总理诞辰,今天是周总理的诞辰和雷锋纪念日啊，你怎么不报道了？,坚决反对#外国人永久居留管理条例#,,,,
,,,,,,,,,,,,,,,,,,,,,,
【外交部：#防疫措施对中外公民一视同仁#】外交部副部长马朝旭表示，当前中国各地对于来自疫情严重的国家或地区人员入境后采取了不同的检验检疫和防控措施。这些做法应该说符合中国法律法规，是防疫工作的需要，也可以有效阻止疫情的跨国传播，也将根据疫情形势发展及需要动态调整。防疫措施对于外国公民和中国公民一视同仁，无差别地执行，并且会充分照顾当事人的合理关切，为他们提供必要的保障和协助。 人民日报的微博视频,2020/3/5 11:10,"评论
1478",防疫措施对中外公民一视同仁,大国气度,防疫措施对于外国公民和中国公民一视同仁 。支持,也请国外入境人员积极配合！,请一定要严格管控，不然之前的一切就白费了,中国加油,加油中国,对中外公民一视同仁[加油],大国风范！,今天是周总理的诞辰以及雷锋纪念日,坚决反对#外国人永久居留管理条例#,今天是周总理诞辰，人民日报你发了吗？,今天是周总理诞辰，人民日报你发了吗？,外国人治疗肺炎费用自己付！,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,国外也是免费治疗吗？,国外把你当病毒，你把他们当兄弟,拒绝以民族、反动、两性对立掩盖资产转移 #外国人永久居留管理条例#+#中国将全面开放油气勘查开采市场#+#十部委 严控公立医院数量#+#食盐专营取消#+#天津60个国企混改项目股权拍卖#+#中国粮油控股私有化#+#外资养老金管理公司#国资划转社保，现在私有化正在进行。疫情爆发，私立医院关闭发热门诊。,报报，今天是周恩来总理的生辰，共青团凌晨就发了，你不发一下吗？,
,,,,,,,,,,,,,,,,,,,,,,
